time,força_total,rate
0.0,1.563082932337e-311,84.0
0.05,1.563072654001e-311,84.0
0.1,4.745329698635369e-10,83.99999999999525
0.15000000000000002,1.4681723112415047e-09,83.99999999998532
0.2,2.9822280976879902e-09,83.99999999997017
0.25,5.013793224472053e-09,83.99999999994986
0.30000000000000004,7.559678692532951e-09,83.9999999999244
0.35000000000000003,1.0616803273996008e-08,83.99999999989383
0.4,1.4182225505080421e-08,83.99999999985818
0.45,1.825313995399109e-08,83.99999999981746
0.5,2.2826870257699317e-08,83.99999999977173
0.55,2.7900862188963666e-08,83.999999999721
0.6000000000000001,3.347267709448553e-08,83.99999999966528
0.65,3.953998562602526e-08,83.9999999996046
0.7000000000000001,4.6100561835670417e-08,83.999999999539
0.75,5.315227759327344e-08,83.99999999946847
0.8,6.069309730636902e-08,83.99999999939307
0.8500000000000001,6.872107292596758e-08,83.99999999931279
0.9,7.723433922272573e-08,83.99999999922765
0.9500000000000001,8.623110931885254e-08,83.99999999913769
1.0,9.570967046190607e-08,83.9999999990429
1.05,1.0566838002738466e-07,83.99999999894331
1.1,1.1610566173772633e-07,83.99999999883894
1.1500000000000001,1.27020002085999e-07,83.9999999987298
1.2000000000000002,1.3840994695320135e-07,83.9999999986159
1.25,1.5027409840869038e-07,83.99999999849726
1.3,1.6261111168382357e-07,83.9999999983739
1.35,1.7541969230943613e-07,83.9999999982458
1.4000000000000001,1.8869859340828295e-07,83.99999999811301
1.4500000000000002,2.024466131340588e-07,83.99999999797554
1.5,2.1666259224905684e-07,83.99999999783337
1.55,2.3134541183296272e-07,83.99999999768654
1.6,2.464939911156835e-07,83.99999999753506
1.6500000000000001,2.621072854274959e-07,83.99999999737892
1.7000000000000002,2.781842842601632e-07,83.99999999721815
1.75,2.9472400943301327e-07,83.99999999705275
1.8,3.117255133582922e-07,83.99999999688275
1.85,3.2918787740042347e-07,83.99999999670813
1.9000000000000001,3.471102103240854e-07,83.9999999965289
1.9500000000000002,3.6549164682629834e-07,83.99999999634508
2.0,3.843313461479757e-07,83.99999999615669
2.0500000000000003,4.036284907606352e-07,83.99999999596372
2.1,4.2338228512419854e-07,83.99999999576617
2.15,4.435919545120374e-07,83.99999999556408
2.2,4.642567438996192e-07,83.99999999535743
2.25,4.853759169133099e-07,83.99999999514624
2.3000000000000003,5.069487548360817e-07,83.99999999493052
2.35,5.289745556670397e-07,83.99999999471025
2.4000000000000004,5.514526332318545e-07,83.99999999448548
2.45,5.743823163413495e-07,83.99999999425617
2.5,5.977629479956283e-07,83.99999999402237
2.5500000000000003,6.215938846312826e-07,83.99999999378406
2.6,6.458744954093476e-07,83.99999999354125
2.6500000000000004,6.706041615417933e-07,83.99999999329395
2.7,6.957822756544758e-07,83.99999999304218
2.75,7.214082411845606e-07,83.99999999278592
2.8000000000000003,7.47481471810569e-07,83.99999999252519
2.85,7.740013909132628e-07,83.99999999225999
2.9000000000000004,8.009674310657136e-07,83.99999999199032
2.95,8.283790335509651e-07,83.99999999171621
3.0,8.562356479058047e-07,83.99999999143765
3.0500000000000003,8.845367314892186e-07,83.99999999115464
3.1,9.132817490742084e-07,83.99999999086718
3.1500000000000004,9.424701724616909e-07,83.9999999905753
3.2,9.772061540618192e-07,83.99999999022793
3.25,1.027722329968609e-06,83.99999998972278
