neuron_id,spike_time
0,6.15 ms
0,13.65 ms
0,25.9 ms
0,38.449999999999996 ms
0,71.20000000000002 ms
0,71.79999999999998 ms
0,80.5 ms
0,113.55000000000001 ms
0,114.30000000000001 ms
0,115.75 ms
0,141.64999999999998 ms
0,162.89999999999998 ms
0,184.05 ms
0,188.90000000000003 ms
0,215.15000000000003 ms
0,220.40000000000003 ms
0,221.09999999999997 ms
0,224.15000000000003 ms
0,230.59999999999997 ms
0,243.40000000000003 ms
0,263.7 ms
0,276.84999999999997 ms
0,304.2 ms
0,372.8999999999999 ms
0,382.45 ms
0,403.25000000000006 ms
0,404.7 ms
0,423.05 ms
0,439.15000000000003 ms
0,447.40000000000003 ms
0,456.84999999999997 ms
0,462.99999999999994 ms
0,464.3 ms
0,466.1000000000001 ms
0,479.25000000000006 ms
0,501.8500000000001 ms
0,547.45 ms
0,555.05 ms
0,555.2 ms
0,565.75 ms
0,580.45 ms
0,582.6000000000001 ms
0,584.0 ms
0,588.5999999999999 ms
0,607.8499999999999 ms
0,613.5 ms
0,618.45 ms
0,625.8500000000001 ms
0,633.75 ms
0,653.4000000000001 ms
0,672.9499999999998 ms
0,673.05 ms
0,690.3499999999999 ms
0,702.3 ms
0,730.8 ms
0,738.5 ms
0,739.8499999999999 ms
0,748.4000000000001 ms
0,780.1500000000001 ms
0,805.0999999999999 ms
0,811.5 ms
0,829.3499999999999 ms
0,829.6500000000001 ms
0,830.0 ms
0,840.25 ms
0,846.0 ms
0,862.7 ms
0,865.7 ms
0,868.45 ms
0,881.95 ms
0,897.7 ms
0,929.5 ms
0,933.3 ms
0,942.7 ms
0,947.95 ms
0,954.2499999999998 ms
0,974.7499999999998 ms
0,979.8499999999999 ms
0,983.4499999999998 ms
0,986.6500000000001 ms
0,993.1999999999998 ms
0,1056.6499999999996 ms
0,1059.6499999999996 ms
0,1077.6 ms
0,1090.4 ms
0,1158.2999999999997 ms
0,1172.15 ms
0,1174.4 ms
0,1181.5499999999997 ms
0,1189.15 ms
0,1205.15 ms
0,1209.4499999999998 ms
0,1218.9499999999998 ms
0,1232.6 ms
0,1247.35 ms
0,1252.7999999999997 ms
0,1262.9 ms
0,1277.4999999999995 ms
0,1307.7999999999997 ms
0,1327.9999999999995 ms
0,1349.0499999999997 ms
0,1352.2499999999995 ms
0,1367.7999999999997 ms
0,1372.6 ms
0,1390.8999999999996 ms
0,1392.8999999999996 ms
0,1402.1499999999996 ms
0,1407.5499999999997 ms
0,1422.1 ms
0,1426.7499999999995 ms
0,1442.65 ms
0,1447.2499999999995 ms
0,1456.7499999999995 ms
0,1464.4999999999995 ms
0,1467.9999999999995 ms
0,1471.2499999999995 ms
0,1477.5499999999997 ms
0,1477.9999999999995 ms
0,1487.4 ms
0,1495.2499999999995 ms
0,1508.5499999999997 ms
0,1516.6 ms
0,1539.2999999999997 ms
0,1555.35 ms
0,1566.85 ms
0,1578.35 ms
0,1611.85 ms
0,1614.6999999999994 ms
0,1631.0499999999997 ms
0,1671.0999999999995 ms
0,1676.1999999999994 ms
0,1682.7499999999995 ms
0,1688.4999999999995 ms
0,1691.099999999999 ms
0,1691.3999999999992 ms
0,1698.3999999999992 ms
0,1699.849999999999 ms
0,1725.6999999999994 ms
0,1739.6499999999992 ms
0,1748.349999999999 ms
0,1783.6499999999992 ms
0,1789.099999999999 ms
0,1791.2499999999995 ms
0,1810.4999999999995 ms
0,1820.4499999999994 ms
0,1821.2499999999995 ms
0,1821.5499999999993 ms
0,1831.7999999999993 ms
0,1863.999999999999 ms
0,1885.8999999999996 ms
0,1901.9499999999994 ms
0,1902.5499999999993 ms
0,1926.9499999999994 ms
0,1934.5999999999995 ms
0,1938.0999999999995 ms
0,1941.8999999999996 ms
0,1947.749999999999 ms
0,1948.0499999999993 ms
0,1982.0499999999993 ms
0,1982.249999999999 ms
0,1983.999999999999 ms
0,1995.8499999999995 ms
0,2000.6499999999992 ms
0,2026.7999999999993 ms
0,2041.8999999999992 ms
0,2045.0499999999993 ms
0,2093.949999999999 ms
0,2100.5499999999993 ms
0,2107.2999999999993 ms
0,2122.449999999999 ms
0,2163.8999999999996 ms
0,2171.949999999999 ms
0,2173.949999999999 ms
0,2186.8999999999996 ms
0,2189.2999999999993 ms
0,2206.449999999999 ms
0,2227.8999999999996 ms
0,2251.699999999999 ms
0,2270.0 ms
0,2282.199999999999 ms
0,2309.199999999999 ms
0,2309.8999999999996 ms
0,2312.1499999999996 ms
0,2316.0499999999993 ms
0,2321.5999999999995 ms
0,2326.6499999999996 ms
0,2336.75 ms
0,2337.949999999999 ms
0,2348.0499999999993 ms
0,2361.999999999999 ms
0,2378.199999999999 ms
0,2415.3499999999985 ms
0,2441.8499999999985 ms
0,2442.7999999999993 ms
0,2452.8499999999985 ms
0,2465.7999999999993 ms
0,2489.999999999998 ms
0,2490.8499999999985 ms
0,2499.249999999998 ms
0,2508.8999999999987 ms
0,2525.0999999999985 ms
0,2531.7999999999984 ms
0,2553.249999999998 ms
0,2556.249999999998 ms
0,2565.149999999998 ms
0,2592.449999999999 ms
0,2609.699999999999 ms
0,2616.3499999999985 ms
0,2626.249999999998 ms
0,2626.749999999998 ms
0,2632.449999999999 ms
0,2640.699999999999 ms
0,2670.449999999999 ms
0,2671.149999999998 ms
0,2673.2999999999984 ms
0,2677.5999999999985 ms
0,2691.1499999999987 ms
0,2697.449999999999 ms
0,2708.8499999999985 ms
0,2716.999999999999 ms
0,2724.5499999999993 ms
0,2729.7999999999993 ms
0,2732.3999999999996 ms
0,2758.0999999999985 ms
0,2792.5499999999993 ms
0,2793.0499999999993 ms
0,2799.6499999999987 ms
0,2831.5999999999985 ms
0,2871.949999999999 ms
0,2875.5999999999985 ms
0,2888.3999999999987 ms
0,2893.0499999999984 ms
0,2928.6499999999987 ms
0,2931.8499999999985 ms
0,2938.8499999999985 ms
0,2943.699999999999 ms
0,2946.149999999998 ms
0,2949.399999999998 ms
0,2951.0499999999984 ms
0,2952.2999999999984 ms
0,2970.0499999999984 ms
0,2970.3499999999985 ms
0,2983.0999999999985 ms
0,2990.499999999998 ms
0,3010.1499999999987 ms
0,3025.0999999999985 ms
0,3065.449999999999 ms
0,3065.8499999999985 ms
0,3066.3999999999987 ms
0,3074.7999999999984 ms
0,3081.2999999999984 ms
0,3086.6499999999987 ms
0,3095.499999999999 ms
0,3103.2999999999984 ms
0,3115.199999999999 ms
0,3118.949999999999 ms
0,3136.1499999999987 ms
0,3161.749999999999 ms
0,3163.2999999999984 ms
0,3183.999999999999 ms
0,3204.699999999998 ms
0,3218.6499999999987 ms
0,3278.2999999999984 ms
0,3286.3499999999985 ms
0,3287.8999999999987 ms
0,3291.5999999999985 ms
0,3309.5999999999985 ms
0,3312.449999999999 ms
0,3315.949999999999 ms
0,3317.899999999998 ms
