neuron_id,spike_time
0,15.75 ms
0,28.200000000000003 ms
0,35.2 ms
0,60.75 ms
0,95.6 ms
0,108.25 ms
0,108.5 ms
0,125.25 ms
0,129.2 ms
0,157.45 ms
0,190.59999999999997 ms
0,195.09999999999997 ms
0,199.09999999999997 ms
0,199.45 ms
0,208.7 ms
0,229.2 ms
0,232.34999999999997 ms
0,248.0 ms
0,272.45000000000005 ms
0,289.45000000000005 ms
0,308.9 ms
0,330.29999999999995 ms
0,349.29999999999995 ms
0,361.19999999999993 ms
0,401.9999999999999 ms
0,403.4 ms
0,412.5999999999999 ms
0,424.0999999999999 ms
0,444.29999999999995 ms
0,449.2499999999999 ms
0,457.3499999999999 ms
0,477.39999999999986 ms
0,494.25 ms
0,498.79999999999995 ms
0,505.54999999999995 ms
0,505.65 ms
0,532.0000000000001 ms
0,542.9 ms
0,552.5499999999998 ms
0,553.9499999999999 ms
0,555.3499999999998 ms
0,557.1 ms
0,594.65 ms
0,632.8999999999997 ms
0,643.15 ms
0,662.1 ms
0,668.3499999999998 ms
0,676.6 ms
0,683.8000000000001 ms
0,709.0499999999998 ms
0,715.4999999999999 ms
0,729.5000000000001 ms
0,779.35 ms
0,790.2000000000002 ms
0,793.9499999999999 ms
0,801.4 ms
0,809.4000000000002 ms
0,826.5000000000001 ms
0,844.3000000000001 ms
0,867.35 ms
0,919.9999999999999 ms
0,969.7999999999998 ms
0,984.1999999999999 ms
0,997.0999999999998 ms
0,1005.1999999999999 ms
0,1009.6999999999999 ms
0,1031.4499999999998 ms
0,1042.35 ms
0,1064.0 ms
0,1070.1999999999998 ms
0,1086.1999999999998 ms
0,1087.9499999999998 ms
0,1099.25 ms
0,1108.65 ms
0,1114.65 ms
0,1134.65 ms
0,1140.9500000000003 ms
0,1198.4 ms
0,1205.9 ms
0,1225.75 ms
0,1241.9 ms
0,1248.9500000000003 ms
0,1249.65 ms
0,1253.0 ms
0,1256.9 ms
0,1259.25 ms
0,1266.25 ms
0,1267.65 ms
0,1288.35 ms
0,1310.85 ms
0,1348.4 ms
0,1352.8000000000002 ms
0,1363.6000000000004 ms
0,1375.5500000000002 ms
0,1376.2000000000003 ms
0,1385.7500000000005 ms
0,1396.7500000000005 ms
0,1417.8000000000002 ms
0,1417.9 ms
0,1431.8000000000002 ms
0,1441.75 ms
0,1461.0 ms
0,1481.0 ms
0,1490.8000000000002 ms
0,1501.3500000000004 ms
0,1507.3000000000002 ms
0,1517.3000000000002 ms
0,1529.9 ms
0,1565.9 ms
0,1579.7000000000003 ms
0,1582.1 ms
0,1594.1 ms
0,1599.3000000000002 ms
0,1641.5 ms
0,1653.3000000000002 ms
0,1655.75 ms
0,1659.8000000000002 ms
0,1669.15 ms
0,1678.0 ms
0,1678.75 ms
0,1685.35 ms
0,1688.0499999999997 ms
0,1692.35 ms
0,1703.2999999999997 ms
0,1739.5499999999997 ms
0,1739.85 ms
0,1747.35 ms
0,1771.35 ms
0,1782.5499999999997 ms
0,1792.5 ms
0,1806.6 ms
0,1812.2999999999997 ms
0,1826.6 ms
0,1830.85 ms
0,1852.1 ms
0,1853.85 ms
0,1856.1999999999998 ms
0,1863.0 ms
0,1867.1499999999996 ms
0,1869.5 ms
0,1876.1999999999998 ms
0,1877.8999999999996 ms
0,1878.8999999999996 ms
0,1879.8000000000002 ms
0,1897.4499999999998 ms
0,1904.0 ms
0,1927.1 ms
0,1927.1999999999998 ms
0,1932.1 ms
0,1937.75 ms
0,1943.9 ms
0,1944.9 ms
0,1957.0500000000002 ms
0,1964.65 ms
0,1968.3000000000002 ms
0,1984.4 ms
0,1992.6 ms
0,1999.7000000000003 ms
0,2000.2999999999997 ms
0,2002.5499999999997 ms
0,2008.15 ms
0,2028.7999999999997 ms
0,2031.85 ms
0,2046.9 ms
0,2059.649999999999 ms
0,2064.7499999999995 ms
0,2065.2499999999995 ms
0,2067.849999999999 ms
0,2090.85 ms
0,2092.65 ms
0,2095.6 ms
0,2100.7999999999997 ms
0,2123.1 ms
0,2135.1999999999994 ms
0,2137.399999999999 ms
0,2149.9499999999994 ms
0,2158.899999999999 ms
0,2183.2499999999986 ms
0,2217.799999999999 ms
0,2226.149999999999 ms
0,2234.149999999999 ms
0,2245.0499999999997 ms
0,2250.899999999999 ms
0,2259.0499999999997 ms
0,2269.6 ms
0,2276.9499999999994 ms
0,2316.85 ms
0,2317.4499999999994 ms
0,2332.35 ms
0,2341.9 ms
0,2344.9500000000003 ms
0,2353.1 ms
0,2361.6999999999994 ms
0,2412.9500000000003 ms
0,2418.9499999999994 ms
0,2437.7999999999997 ms
0,2441.7499999999995 ms
0,2454.349999999999 ms
0,2454.6 ms
0,2463.1999999999994 ms
0,2470.1 ms
0,2474.4 ms
0,2485.85 ms
0,2486.2499999999995 ms
0,2490.849999999999 ms
0,2491.899999999999 ms
0,2497.9499999999994 ms
0,2499.1 ms
0,2501.6999999999994 ms
0,2542.4500000000003 ms
0,2545.9499999999994 ms
0,2547.9999999999995 ms
0,2554.5000000000005 ms
0,2560.15 ms
0,2564.85 ms
0,2565.7999999999997 ms
0,2573.9500000000003 ms
0,2589.85 ms
0,2590.85 ms
0,2610.2500000000005 ms
0,2634.7499999999995 ms
0,2638.35 ms
0,2645.35 ms
0,2676.4499999999994 ms
0,2689.149999999999 ms
0,2691.5499999999997 ms
0,2735.7499999999995 ms
0,2753.599999999999 ms
0,2754.399999999999 ms
0,2771.7499999999995 ms
0,2772.849999999999 ms
0,2788.399999999999 ms
0,2790.4999999999995 ms
0,2799.6999999999994 ms
0,2803.299999999999 ms
0,2808.849999999999 ms
0,2815.2499999999995 ms
0,2829.2999999999997 ms
0,2849.9500000000003 ms
0,2851.5499999999997 ms
0,2854.2499999999995 ms
0,2870.9 ms
0,2880.5499999999997 ms
0,2892.0499999999997 ms
0,2895.2999999999997 ms
0,2898.0499999999997 ms
0,2914.7499999999995 ms
0,2933.9999999999995 ms
0,2936.4999999999995 ms
0,2968.849999999999 ms
0,2993.6 ms
0,2998.0499999999997 ms
0,3055.6999999999994 ms
0,3056.149999999999 ms
0,3082.2499999999986 ms
0,3101.799999999999 ms
0,3103.5499999999997 ms
0,3119.549999999999 ms
0,3138.1999999999994 ms
0,3149.149999999999 ms
0,3160.0499999999997 ms
0,3186.549999999999 ms
0,3203.649999999999 ms
0,3205.4999999999986 ms
0,3221.1999999999985 ms
0,3229.049999999999 ms
0,3236.9999999999986 ms
0,3242.349999999998 ms
0,3260.349999999999 ms
0,3296.4499999999985 ms
0,3296.549999999998 ms
0,3301.6499999999983 ms
0,3304.7499999999977 ms
0,3324.799999999998 ms
0,3329.349999999998 ms
0,3329.799999999998 ms
0,3342.1499999999983 ms
0,3355.799999999999 ms
0,3355.9999999999986 ms
0,3359.7499999999977 ms
0,3372.299999999998 ms
0,3397.8999999999983 ms
0,3421.8999999999983 ms
0,3433.349999999998 ms
0,3438.349999999998 ms
0,3460.049999999998 ms
0,3463.1999999999985 ms
0,3474.549999999998 ms
0,3483.1999999999985 ms
0,3485.349999999998 ms
0,3495.4499999999975 ms
0,3509.6499999999974 ms
0,3511.349999999997 ms
0,3522.1499999999974 ms
0,3532.849999999997 ms
0,3543.9499999999975 ms
0,3545.349999999998 ms
0,3554.1499999999983 ms
0,3560.7499999999977 ms
0,3564.1499999999983 ms
0,3570.299999999998 ms
0,3571.1999999999985 ms
0,3572.549999999998 ms
0,3613.3999999999974 ms
0,3619.299999999998 ms
0,3624.9499999999985 ms
0,3637.6499999999983 ms
0,3645.9499999999985 ms
0,3650.299999999998 ms
0,3658.2499999999977 ms
0,3660.549999999998 ms
0,3670.4499999999985 ms
0,3740.1999999999975 ms
0,3756.2499999999977 ms
0,3776.549999999998 ms
0,3789.849999999998 ms
0,3791.549999999998 ms
0,3795.2499999999977 ms
0,3808.599999999998 ms
0,3810.799999999998 ms
0,3816.7499999999977 ms
0,3817.9999999999977 ms
0,3825.549999999998 ms
0,3834.049999999998 ms
0,3856.1999999999985 ms
0,3862.7499999999986 ms
0,3875.349999999998 ms
0,3889.9999999999986 ms
0,3893.1999999999985 ms
0,3898.9999999999986 ms
0,3922.9499999999985 ms
0,3944.4499999999975 ms
0,3963.799999999998 ms
0,3976.599999999998 ms
0,3977.049999999998 ms
0,3985.2499999999977 ms
0,3989.1499999999983 ms
0,3991.049999999998 ms
0,3997.9499999999985 ms
1,1.2000000000000002 ms
1,9.600000000000001 ms
1,27.300000000000004 ms
1,27.65 ms
1,59.35 ms
1,90.60000000000002 ms
1,92.55000000000001 ms
1,92.9 ms
1,102.6 ms
1,110.1 ms
1,131.20000000000002 ms
1,142.20000000000002 ms
1,157.45000000000002 ms
1,166.10000000000005 ms
1,175.00000000000003 ms
1,177.90000000000006 ms
1,178.05000000000004 ms
1,192.55000000000004 ms
1,196.55000000000004 ms
1,196.95000000000007 ms
1,198.50000000000009 ms
1,202.70000000000007 ms
1,205.80000000000004 ms
1,208.75000000000003 ms
1,210.70000000000002 ms
1,213.54999999999998 ms
1,216.55000000000004 ms
1,218.60000000000005 ms
1,223.40000000000006 ms
1,228.65 ms
1,229.6 ms
1,230.00000000000003 ms
1,254.1 ms
1,263.0 ms
1,298.1 ms
1,321.35 ms
1,321.55000000000007 ms
1,326.19999999999993 ms
1,331.44999999999993 ms
1,335.0 ms
1,337.54999999999995 ms
1,341.25 ms
1,357.65 ms
1,372.75 ms
1,379.5 ms
1,381.54999999999995 ms
1,383.6500000000001 ms
1,402.04999999999995 ms
1,407.85 ms
1,414.9 ms
1,445.05000000000007 ms
1,457.55000000000007 ms
1,459.0 ms
1,460.85 ms
1,470.55000000000007 ms
1,474.6 ms
1,475.05000000000007 ms
1,478.69999999999993 ms
1,482.30000000000007 ms
1,485.05000000000007 ms
1,485.35 ms
1,504.25 ms
1,505.25 ms
1,509.20000000000005 ms
1,517.45 ms
1,519.9000000000001 ms
1,520.6000000000001 ms
1,531.0000000000002 ms
1,571.95 ms
1,580.7 ms
1,595.45 ms
1,601.8500000000001 ms
1,609.8500000000001 ms
1,617.5500000000002 ms
1,620.1500000000001 ms
1,636.5500000000002 ms
1,642.3000000000002 ms
1,643.7000000000003 ms
1,690.1500000000001 ms
1,698.9500000000003 ms
1,705.2000000000003 ms
1,707.2000000000003 ms
1,712.9000000000001 ms
1,715.6000000000004 ms
1,734.7000000000003 ms
1,738.3500000000004 ms
1,760.9500000000003 ms
1,768.6500000000003 ms
1,769.7500000000002 ms
1,773.6000000000004 ms
1,793.2500000000005 ms
1,798.7000000000003 ms
1,818.2000000000003 ms
1,820.0500000000004 ms
1,822.3000000000004 ms
1,851.6000000000004 ms
1,872.9500000000003 ms
1,876.5000000000005 ms
1,886.5000000000005 ms
1,887.0500000000002 ms
1,905.2500000000005 ms
1,905.7500000000005 ms
1,929.8500000000004 ms
1,937.6000000000004 ms
1,947.6000000000004 ms
1,948.6500000000003 ms
1,952.0000000000002 ms
1,974.8500000000004 ms
1,987.3500000000004 ms
1,1002.6000000000004 ms
1,1006.0000000000005 ms
1,1026.3000000000004 ms
1,1034.5000000000007 ms
1,1043.3500000000006 ms
1,1046.9000000000003 ms
1,1062.8500000000006 ms
1,1069.2500000000007 ms
1,1096.9500000000005 ms
1,1114.0000000000002 ms
1,1118.9500000000005 ms
1,1121.8000000000004 ms
1,1129.1500000000003 ms
1,1143.0500000000004 ms
1,1145.5000000000007 ms
1,1150.2000000000005 ms
1,1158.9000000000008 ms
1,1159.0000000000007 ms
1,1183.3500000000006 ms
1,1189.5500000000004 ms
1,1203.5500000000004 ms
1,1205.6000000000001 ms
1,1224.5000000000002 ms
1,1231.4500000000005 ms
1,1256.1500000000008 ms
1,1258.5500000000009 ms
1,1268.700000000001 ms
1,1317.4000000000008 ms
1,1319.7500000000007 ms
1,1337.700000000001 ms
1,1354.6500000000008 ms
1,1360.1500000000008 ms
1,1388.100000000001 ms
1,1392.3000000000009 ms
1,1415.950000000001 ms
1,1423.5000000000007 ms
1,1433.3000000000009 ms
1,1450.6500000000008 ms
1,1462.3000000000009 ms
1,1472.0000000000011 ms
1,1492.350000000001 ms
1,1510.200000000001 ms
1,1535.0000000000007 ms
1,1541.5000000000007 ms
1,1543.200000000001 ms
1,1554.0500000000009 ms
1,1586.8000000000004 ms
1,1614.0500000000009 ms
1,1622.4000000000008 ms
1,1626.2500000000007 ms
1,1629.7000000000005 ms
1,1631.3000000000004 ms
1,1633.4000000000003 ms
1,1638.95 ms
1,1643.3 ms
1,1646.1000000000001 ms
1,1651.3000000000004 ms
1,1661.3500000000001 ms
1,1668.5500000000004 ms
1,1672.4000000000003 ms
1,1679.3000000000004 ms
1,1732.1500000000003 ms
1,1760.2 ms
1,1760.7499999999998 ms
