neuron_id,spike_time
0,17.85 ms
0,37.45 ms
0,44.900000000000006 ms
0,45.55000000000001 ms
0,45.900000000000006 ms
0,75.75 ms
0,114.75 ms
0,121.25 ms
0,124.30000000000001 ms
0,124.85 ms
0,170.6 ms
0,186.4 ms
0,198.80000000000004 ms
0,212.95000000000002 ms
0,271.35 ms
0,299.0 ms
0,307.4 ms
0,347.35 ms
0,361.54999999999995 ms
0,367.54999999999995 ms
0,425.5 ms
0,440.5999999999999 ms
0,443.5999999999999 ms
0,443.75 ms
0,468.0999999999999 ms
0,511.0 ms
0,517.9000000000001 ms
0,523.9499999999998 ms
0,524.0999999999999 ms
0,532.5 ms
0,534.1999999999998 ms
0,538.05 ms
0,542.3999999999999 ms
0,548.3999999999999 ms
0,551.1000000000001 ms
0,563.1000000000001 ms
0,600.75 ms
0,606.8 ms
0,612.7 ms
0,632.2499999999998 ms
0,637.1499999999999 ms
0,663.8 ms
0,675.0999999999997 ms
0,680.3 ms
0,716.9999999999998 ms
0,723.5999999999999 ms
0,728.8 ms
0,739.8999999999999 ms
0,745.25 ms
0,745.7 ms
0,749.2 ms
0,794.4000000000001 ms
0,823.6000000000001 ms
0,838.45 ms
0,853.3000000000002 ms
0,857.8000000000002 ms
0,865.3500000000001 ms
0,899.7500000000002 ms
0,907.5000000000002 ms
0,918.7 ms
0,957.7500000000002 ms
0,982.95 ms
0,995.95 ms
0,998.2 ms
0,1014.9000000000003 ms
0,1016.1000000000001 ms
0,1021.5500000000004 ms
0,1036.1500000000003 ms
0,1049.45 ms
0,1061.0000000000002 ms
0,1061.6000000000001 ms
0,1073.0000000000002 ms
0,1079.55 ms
0,1081.1499999999999 ms
0,1083.6500000000003 ms
0,1088.3500000000001 ms
0,1095.5000000000002 ms
0,1119.9000000000003 ms
0,1128.5000000000002 ms
0,1176.8 ms
0,1187.1499999999999 ms
0,1199.05 ms
0,1203.8500000000001 ms
0,1220.8000000000004 ms
0,1243.1500000000003 ms
0,1243.7 ms
0,1245.4000000000003 ms
0,1255.7500000000002 ms
0,1276.3 ms
0,1288.3 ms
0,1299.2500000000002 ms
0,1322.7 ms
0,1346.9000000000003 ms
0,1384.95 ms
0,1394.7 ms
0,1404.1500000000003 ms
0,1404.3999999999999 ms
0,1429.55 ms
0,1439.1499999999999 ms
0,1440.1500000000003 ms
0,1441.3000000000004 ms
0,1444.4000000000003 ms
0,1464.7 ms
0,1479.8500000000001 ms
0,1481.7500000000002 ms
0,1495.3 ms
0,1498.7500000000002 ms
0,1505.2000000000005 ms
0,1566.1500000000003 ms
0,1566.7500000000002 ms
0,1579.8500000000001 ms
0,1610.0000000000002 ms
0,1616.5000000000002 ms
0,1672.6000000000001 ms
0,1680.8999999999999 ms
0,1682.2 ms
0,1693.8500000000001 ms
0,1694.0500000000004 ms
0,1701.5000000000002 ms
0,1708.2500000000002 ms
0,1716.2000000000005 ms
0,1727.9000000000003 ms
0,1728.3000000000004 ms
0,1742.5500000000004 ms
0,1755.6500000000003 ms
0,1768.9000000000003 ms
0,1770.7500000000002 ms
0,1776.1500000000003 ms
0,1784.45 ms
0,1787.05 ms
