firing_rate,ISI_CV,neuron_index
4.0,0.6773867120235118,250.0
18.0,0.049967286414821205,100.0
21.5,0.03812102489099815,10.0
12.166666666666666,0.13470442336767527,250.0
10.5,0.18692755952153967,100.0
14.166666666666666,0.09344046918847253,250.0
7.666666666666667,0.24348927375938906,250.0
0.3333333333333333,1.0,250.0
3.5,0.545755769680882,250.0
14.0,0.08500202371586012,100.0
7.666666666666667,0.24348927375938906,250.0
19.166666666666668,0.045525543753628155,10.0
13.333333333333334,0.1147745539060882,250.0
6.0,0.3427076069953784,250.0
18.0,0.04654386932869182,100.0
15.666666666666666,0.07315061948185368,10.0
20.666666666666668,0.033482210364362885,100.0
14.333333333333334,0.08181910734903176,100.0
9.666666666666666,0.18892275488868174,250.0
18.333333333333332,0.05014767667284373,10.0
12.833333333333334,0.1171889538138919,10.0
19.166666666666668,0.04094893779716721,10.0
7.833333333333333,0.28038824214175034,250.0
22.166666666666668,0.034337535051169085,10.0
15.5,0.07455486490674364,250.0
9.333333333333334,0.1851892010864984,100.0
0.16666666666666666,1.0,250.0
13.5,0.09939222962277816,100.0
2.0,0.5268773794797645,250.0
4.0,0.6773867120235118,250.0
19.166666666666668,0.045525543753628155,10.0
18.833333333333332,0.0447542922213582,100.0
2.5,0.7074760671524452,250.0
15.0,0.08105940359738986,100.0
16.833333333333332,0.06590967675794689,100.0
10.666666666666666,0.19275297250102408,250.0
15.0,0.07525310512739385,100.0
9.666666666666666,0.19128725675482744,100.0
17.5,0.04984700753398598,10.0
4.0,0.6773867120235118,250.0
10.5,0.1555888046629249,250.0
11.833333333333334,0.14796320241001357,250.0
10.833333333333334,0.17226053730246602,250.0
17.666666666666668,0.056980275629219944,100.0
15.666666666666666,0.07065411622693483,100.0
9.666666666666666,0.21585263424374854,100.0
14.0,0.1106916931957658,250.0
18.333333333333332,0.04425479519403179,100.0
0.16666666666666666,1.0,250.0
0.16666666666666666,1.0,250.0
20.0,0.03866584735435963,10.0
17.5,0.0523305850254956,100.0
6.0,0.3427076069953784,250.0
10.5,0.18692755952153967,100.0
20.833333333333332,0.03782567947831856,10.0
18.166666666666668,0.046687232451267005,10.0
9.333333333333334,0.1851892010864984,100.0
7.333333333333333,0.26679067188075145,250.0
11.666666666666666,0.13236561960971938,250.0
10.833333333333334,0.1849766375275671,100.0
17.833333333333332,0.04959590839723966,10.0
9.333333333333334,0.1851892010864984,100.0
17.0,0.05899056312704905,100.0
15.666666666666666,0.08175712466807514,250.0
9.666666666666666,0.21585263424374854,100.0
19.166666666666668,0.04081730654289834,10.0
18.833333333333332,0.044075456300648325,10.0
0.16666666666666666,1.0,250.0
13.666666666666666,0.10776052316029837,100.0
17.666666666666668,0.056980275629219944,100.0
15.833333333333334,0.05441082892848475,10.0
20.166666666666668,0.04172750437577601,10.0
9.666666666666666,0.21788289426624888,100.0
11.833333333333334,0.14796320241001357,250.0
15.833333333333334,0.07211239106386531,100.0
13.166666666666666,0.10229881466276851,250.0
10.5,0.18692755952153967,100.0
17.833333333333332,0.051220874178603194,10.0
15.0,0.07604017039872035,10.0
17.0,0.048613380288411015,10.0
18.333333333333332,0.04425479519403179,100.0
10.666666666666666,0.19448567807070669,100.0
18.166666666666668,0.046687232451267005,10.0
13.5,0.09904645715427549,100.0
21.333333333333332,0.03686907969594265,10.0
13.5,0.09939222962277816,100.0
18.333333333333332,0.05014767667284373,10.0
15.833333333333334,0.060945074288665864,60.0
0.3333333333333333,1.0,250.0
21.333333333333332,0.03416313528229521,10.0
21.333333333333332,0.03686907969594265,10.0
0.16666666666666666,1.0,250.0
18.0,0.04975011304946915,10.0
2.0,0.5268773794797645,250.0
2.5,0.7074760671524452,250.0
18.833333333333332,0.043647364587651075,10.0
15.666666666666666,0.07065411622693483,100.0
10.0,0.1920635521284455,250.0
20.833333333333332,0.03317888036196649,10.0
9.333333333333334,0.22066780547133125,250.0
14.333333333333334,0.09061579266219141,250.0
13.166666666666666,0.10367205932924706,250.0
18.166666666666668,0.044464093232506975,10.0
17.833333333333332,0.05593394604185511,10.0
18.666666666666668,0.052016144505678534,100.0
13.333333333333334,0.10129231112116668,250.0
0.16666666666666666,1.0,250.0
2.1666666666666665,0.5367876816249819,100.0
10.5,0.18049798025621303,100.0
15.5,0.07255704937890474,100.0
13.333333333333334,0.10129231112116668,250.0
15.5,0.055621768617855484,100.0
21.333333333333332,0.0332486248921713,10.0
14.5,0.07785594919760809,100.0
20.5,0.03882620567331229,10.0
0.6666666666666666,1.0,250.0
14.5,0.07785594919760809,100.0
21.333333333333332,0.0332486248921713,10.0
2.1666666666666665,0.5367876816249819,100.0
18.5,0.0517126613556644,10.0
19.0,0.04399268119149008,10.0
12.166666666666666,0.12197980836813702,250.0
18.166666666666668,0.044464093232506975,10.0
12.5,0.11758465970750091,100.0
18.166666666666668,0.044464093232506975,10.0
19.0,0.03783830840162993,100.0
14.5,0.09434193482562468,250.0
14.666666666666666,0.0794409079181814,250.0
17.333333333333332,0.05527983520353693,10.0
16.666666666666668,0.06197784800826371,10.0
18.666666666666668,0.04938263156601148,100.0
15.166666666666666,0.0757327333672706,100.0
21.333333333333332,0.0384753883815979,10.0
19.5,0.03598756703952849,10.0
14.833333333333334,0.07499467942125644,100.0
16.833333333333332,0.06024211807026814,10.0
9.0,0.22948591401299867,250.0
